model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,7128893484183252000.0,45,true,0.0,0.1432832151181463,0.00026318475474129,0.00011860562659389,1,3,0.0,0.0,1.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,7043372089166577700.0,50,true,0.0,0.14621052190392103,0.00018488703866795,0.00008822378101578,1,3,0.0,0.0,1.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,4342572612484808700.0,50,true,0.0,0.1440927919317606,0.00024949376235674,0.00012757764648499,2,3,0.0,0.0,1.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,109591146466576384.0,45,true,0.0,0.14427095731116557,0.00022746555619348,0.0001011438271231,1,3,0.0,0.0,1.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,5702577027890589700.0,15,true,0.0,0.07359388704275323,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,heterogeneous,19,2,2,0.1,0.6,0.6,0.3,true,0.05,0.3,0.1,0.05,8803618445054126100.0,50,true,0.0,0.14745659400830113,0.00013501847443426,0.00006028423108994,1,3,0.0,0.0,1.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,1841142524168585220.0,15,true,0.0,0.07471432703140979,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,4398895106259038200.0,15,true,0.0,0.06383860256975792,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,8803618445054126100.0,15,true,0.0,0.08834801538735815,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,heterogeneous,20,2,3,0.1,0.4,0.5,0.1,true,0.05,0.2,0.1,0.05,4477927936947039200.0,35,true,0.0,0.1219746683286019,0.00269207779489465,0.00340919286144918,2,3,0.09999999999999998,0.0,0.7
clustering,heterogeneous,20,2,3,0.1,0.4,0.5,0.1,true,0.05,0.2,0.1,0.05,4398895106259038200.0,40,true,0.0,0.13018482385491476,0.00222610938648667,0.00275756121032043,2,3,0.09999999999999998,0.0,0.7
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,4342572612484808700.0,15,true,0.0,0.06055625402389259,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,7043372089166577700.0,15,true,0.0,0.10538945437871948,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
clustering,heterogeneous,20,2,3,0.1,0.4,0.5,0.1,true,0.05,0.2,0.1,0.05,7139002048363152400.0,50,true,0.0,0.13624211517785387,0.00170948783896899,0.00195246770511731,3,3,0.09999999999999998,0.0,0.7
clustering,heterogeneous,20,2,3,0.1,0.4,0.5,0.1,true,0.05,0.2,0.1,0.05,4692690466958798800.0,50,true,0.0,0.12941325319032138,0.00189544119919525,0.00225784239523448,2,3,0.09999999999999998,0.0,0.7
clustering,homogeneous,50,0,6,0.5,0.6,0.8,0.1,true,0.0,0.1,0.1,0.05,109591146466576384.0,15,true,0.0,0.07149565231201792,0.00000080512261929,0.00000049728979286,1,3,0.20000000000000007,0.0,0.0
